選舉年度,地區別,地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,里,里_得票數,里_得票率
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市留侯里,298,71.46%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市流芳里,353,74.95%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市赤松里,207,72.38%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市黃石里,313,72.29%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市挹秀里,476,83.66%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市湳興里,1100,69.44%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市新興里,655,69.02%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市社後里,1271,69.84%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市香社里,920,66.23%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市中正里,843,64.7%
2002,臺灣省臺北縣," 臺北縣板橋市",林鴻池,01,M,1955,中國國民黨,101057,67.78%,Y,Y,臺北縣板橋市自強里,1223,77.31%
