選舉年度,地區別,地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,里,里_得票數,里_得票率
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市留侯里,149,28.38%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市流芳里,222,32.22%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市赤松里,90,26.01%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市黃石里,168,29.37%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市挹秀里,170,22.58%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市湳興里,623,32.67%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市新興里,383,28.39%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市社後里,697,30.85%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市香社里,622,41%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市中正里,459,29.29%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市自強里,416,21.13%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市自立里,367,30.08%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市光華里,254,26.32%
1998,臺灣省臺北縣," 臺北縣板橋市",吳炎成,01,M,1943,民主進步黨,50686,31.17%,N,N,臺北縣板橋市國光里,149,10.25%
