選舉年度,地區別,地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,里,里_得票數,里_得票率
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市神農里,147,38.89%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市民權里,401,37.62%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市民生里,170,55.37%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市昇平里,288,57.37%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市大東里,198,49.01%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市新興里,151,41.6%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市和睦里,579,42.57%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市進士里,1509,45.53%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市南橋里,280,54.05%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市建業里,394,47.7%
2009,臺灣省宜蘭縣," 宜蘭縣宜蘭市",宋岫書,01,M,1972,民主進步黨,21399,44.26%,N,N,宜蘭縣宜蘭市南津里,336,48.63%
