地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市留侯里,1176,555,540,15,47.19%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市流芳里,1247,718,711,7,57.58%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市赤松里,629,359,349,10,57.07%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市黃石里,1057,603,590,13,57.05%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市挹秀里,1509,774,760,14,51.29%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市湳興里,3674,1965,1926,39,53.48%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市新興里,2408,1396,1369,27,57.97%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市社後里,4507,2319,2280,39,51.45%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市香社里,3098,1557,1536,21,50.26%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市中正里,3515,1614,1586,28,45.92%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市自強里,4280,2025,1998,27,47.31%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市自立里,2310,1239,1222,17,53.64%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市光華里,2066,998,981,17,48.31%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市國光里,3061,1478,1459,19,48.28%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市港尾里,1649,687,674,13,41.66%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市金華里,3024,1516,1486,30,50.13%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市港德里,3955,1596,1572,24,40.35%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市民權里,2447,1107,1090,17,45.24%
臺北縣,3388741,2250467,155,126,29,65,52,13,1074791,1055726,19065,66.41%,47.76%,41.94%,臺北縣第一選區,519671,338483,26,21,5,10,7,3,167497,164549,2948,65.13%,49.48%,38.46%,臺北縣第一選區板橋市,338483,167497,164549,2948,49.48%,臺北縣第一選區板橋市建國里,3148,1695,1671,24,53.84%
