地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,縣市,縣市_得票數,縣市_得票率,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市神農里,178,43.41%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市民權里,448,38.65%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市民生里,188,59.49%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市昇平里,269,56.63%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市大東里,198,51.7%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市新興里,174,42.86%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市和睦里,624,41.22%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市進士里,1617,44.31%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市南橋里,278,51.58%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市建業里,508,52.59%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市南津里,397,53.65%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市凱旋里,490,56.06%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市黎明里,574,51.9%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市東村里,1412,44.64%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市延平里,1675,43.94%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市七張里,574,61.32%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市慈安里,1336,43.33%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市新民里,221,50.34%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市東門里,198,60.18%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市中正里,196,48.76%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市小東里,465,51.16%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市菜園里,475,49.48%
台澎金馬,蔡英文,01,F,1956,民主進步黨,6093578,45.63%,N,N,宜蘭縣,135156,52.53%,宜蘭縣宜蘭市,24498,46.62%,宜蘭縣宜蘭市孝廉里,372,53.99%
