地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,縣市,縣市_得票數,縣市_得票率,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市留侯里,380,37.29%
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市流芳里,365,42.39%
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市赤松里,175,34.38%
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市黃石里,363,44.54%
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市挹秀里,359,30.07%
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市湳興里,1328,41.67%
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市新興里,839,41.37%
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市社後里,1632,42.03%
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市香社里,1263,45.09%
台澎金馬,謝長廷,01,M,1946,民主進步黨,5444949,41.55%,N,N,臺北縣,866915,38.94%,臺北縣板橋市,136964,42%,臺北縣板橋市中正里,1208,40.55%
